data; valor
30/10/2019 19:24:18;403,3687
30/10/2019 19:24:19;308,6261
30/10/2019 19:24:20;241,6313
30/10/2019 19:24:21;211,3981
30/10/2019 19:24:22;184,9118
30/10/2019 19:24:23;166,6876
30/10/2019 19:24:25;126,3414
30/10/2019 19:24:26;99,0126
30/10/2019 19:24:27;71,14403
30/10/2019 19:24:28;50,13877
30/10/2019 19:24:29;37,26474
30/10/2019 19:24:30;31,37369
30/10/2019 19:24:31;30,50748
30/10/2019 19:24:33;0
30/10/2019 19:26:00;0
30/10/2019 19:26:24;0
30/10/2019 19:26:25;190,1245
30/10/2019 19:26:26;349,0115
30/10/2019 19:26:27;484,845
30/10/2019 19:26:28;601,1877
30/10/2019 19:26:29;704,9567
30/10/2019 19:26:30;797,8704
30/10/2019 19:26:31;881,1644
30/10/2019 19:26:32;954,836
30/10/2019 19:26:33;1.014,25
30/10/2019 19:26:34;1.062,54
30/10/2019 19:26:35;1.101,17
30/10/2019 19:26:36;1.121,74
30/10/2019 19:26:37;1.156,69
30/10/2019 19:26:38;1.170,98
30/10/2019 19:26:39;1.195,08
30/10/2019 19:26:40;1.205,79
30/10/2019 19:26:41;1.224,32
30/10/2019 19:26:42;1.232,45
30/10/2019 19:26:43;1.241,30
30/10/2019 19:26:44;1.248,10
30/10/2019 19:26:47;1.261,70
30/10/2019 19:26:48;1.265,27
30/10/2019 19:26:49;1.268,32
30/10/2019 19:26:54;1.276,65
30/10/2019 19:27:00;1.280,40
30/10/2019 19:27:04;1.281,56
30/10/2019 19:27:07;1.280,95
30/10/2019 19:27:08;1.279,62
30/10/2019 19:27:10;1.281,18
30/10/2019 19:27:12;1.279,30
30/10/2019 19:27:14;1.280,98
30/10/2019 19:27:17;1.278,92
30/10/2019 19:27:18;1.231,81
30/10/2019 19:27:19;1.115,09
30/10/2019 19:27:20;974,5638
30/10/2019 19:27:21;845,7571
30/10/2019 19:27:22;719,4222
30/10/2019 19:27:23;585,0225
30/10/2019 19:27:24;452,1614
30/10/2019 19:27:25;346,8199
30/10/2019 19:27:26;267,2673
30/10/2019 19:27:27;230,87
30/10/2019 19:27:28;195,0177
30/10/2019 19:27:29;174,9196
30/10/2019 19:27:30;157,929
30/10/2019 19:27:32;111,1999
30/10/2019 19:27:33;83,86758
30/10/2019 19:27:34;59,45081
30/10/2019 19:27:35;41,92046
30/10/2019 19:27:36;33,32947
30/10/2019 19:27:37;30,94355
30/10/2019 19:27:39;0
30/10/2019 19:29:00;0
30/10/2019 19:30:25;0
30/10/2019 19:30:26;351,8275
30/10/2019 19:30:28;487,8803
30/10/2019 19:30:29;604,2716
30/10/2019 19:30:30;708,2278
30/10/2019 19:30:31;883,6114
30/10/2019 19:30:32;934,6862
30/10/2019 19:30:33;997,4218
30/10/2019 19:30:34;1.049,28
30/10/2019 19:30:35;1.091,48
30/10/2019 19:30:36;1.124,22
30/10/2019 19:30:37;1.149,41
30/10/2019 19:30:38;1.171,23
30/10/2019 19:30:39;1.188,87
30/10/2019 19:30:40;1.204,96
30/10/2019 19:30:41;1.219,87
30/10/2019 19:30:42;1.232,06
30/10/2019 19:30:43;1.240,63
30/10/2019 19:30:44;1.248,52
30/10/2019 19:30:45;1.253,05
30/10/2019 19:30:48;1.266,66
30/10/2019 19:30:51;1.274,63
30/10/2019 19:30:52;1.275,69
30/10/2019 19:30:54;1.275,04
30/10/2019 19:30:58;1.278,76
30/10/2019 19:31:02;1.281,46
30/10/2019 19:31:04;1.280,15
30/10/2019 19:31:08;1.281,03
30/10/2019 19:31:14;1.278,13
30/10/2019 19:31:15;1.279,43
30/10/2019 19:31:17;1.280,15
